hidden_layer_sizes,activation,solver,learning_rate,iteration,MAPE,R²
"(10,)",relu,adam,constant,1,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,constant,2,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,constant,3,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,invscaling,1,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,invscaling,2,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,invscaling,3,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,adaptive,1,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,adaptive,2,0.23639687750617874,-0.380818266293534
"(10,)",relu,adam,adaptive,3,0.23639687750617874,-0.380818266293534
"(10,)",relu,sgd,constant,1,0.30983876147378236,-1.2461697211591845
"(10,)",relu,sgd,constant,2,0.30983876147378236,-1.2461697211591845
"(10,)",relu,sgd,constant,3,0.30983876147378236,-1.2461697211591845
"(10,)",relu,sgd,invscaling,1,0.7713265224251595,-9.49600662364578
"(10,)",relu,sgd,invscaling,2,0.7713265224251595,-9.49600662364578
"(10,)",relu,sgd,invscaling,3,0.7713265224251595,-9.49600662364578
"(10,)",relu,sgd,adaptive,1,0.3090324149685541,-1.2347503444192527
"(10,)",relu,sgd,adaptive,2,0.3090324149685541,-1.2347503444192527
"(10,)",relu,sgd,adaptive,3,0.3090324149685541,-1.2347503444192527
"(10,)",relu,lbfgs,constant,1,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,constant,2,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,constant,3,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,invscaling,1,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,invscaling,2,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,invscaling,3,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,adaptive,1,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,adaptive,2,0.12246686745432528,0.43452361100159953
"(10,)",relu,lbfgs,adaptive,3,0.12246686745432528,0.43452361100159953
"(10,)",tanh,adam,constant,1,0.1804467903803448,0.05729294404591345
"(10,)",tanh,adam,constant,2,0.1804467903803448,0.05729294404591345
"(10,)",tanh,adam,constant,3,0.1804467903803448,0.05729294404591345
"(10,)",tanh,adam,invscaling,1,0.1804467903803448,0.05729294404591345
"(10,)",tanh,adam,invscaling,2,0.1804467903803448,0.05729294404591345
"(10,)",tanh,adam,invscaling,3,0.1804467903803448,0.05729294404591345
"(10,)",tanh,adam,adaptive,1,0.1804467903803448,0.05729294404591345
"(10,)",tanh,adam,adaptive,2,0.1804467903803448,0.05729294404591345
