Date,Open,High,Low,Last Close
07/21/2023,426,427,426,427
07/24/2023,429,429,429,429
07/25/2023,431,431,431,431
07/26/2023,429,429,429,429
07/27/2023,431,431,431,431
07/28/2023,434,434,434,434
07/31/2023,433,433,433,433
08/01/2023,435,435,435,435
08/04/2023,428,428,428,428
08/07/2023,428,428,426,426
08/08/2023,426,426,426,426
08/09/2023,425,425,425,425
08/10/2023,425,426,425,426
08/11/2023,424,424,424,424
08/14/2023,428,428,428,428
08/15/2023,426,426,426,426
08/16/2023,424,425,424,425
08/17/2023,424,424,423,423
08/18/2023,419,419,419,419
08/21/2023,420,421,419,419
08/22/2023,422,424,422,424
08/23/2023,426,426,426,426
08/24/2023,425,425,425,425
08/25/2023,424,424,424,424
08/28/2023,427,427,427,427
08/29/2023,431,431,431,431
08/30/2023,431,431,431,431
08/31/2023,434,436,434,436
09/01/2023,437,437,437,437
09/04/2023,437,437,437,437
09/05/2023,440,440,440,440
09/06/2023,435,435,435,435
09/08/2023,436,436,436,436
09/11/2023,435,435,435,435
09/12/2023,436,436,436,436
09/13/2023,436,436,436,436
09/15/2023,442,442,437,437
09/18/2023,437,437,436,436
09/19/2023,433,433,433,433
09/20/2023,433,434,433,434
09/22/2023,427,427,427,427
09/25/2023,428,428,428,428
09/26/2023,423,423,423,423
09/27/2023,425,425,425,425
09/28/2023,426,426,426,426
09/29/2023,427,427,427,427
10/02/2023,426,428,426,428
10/03/2023,422,422,422,422
10/04/2023,422,422,422,422
10/05/2023,420,420,420,420
10/06/2023,424,424,424,424
10/09/2023,427,427,427,427
10/10/2023,432,432,432,432
10/11/2023,429,429,429,429
10/12/2023,434,434,434,434
10/13/2023,432,432,432,432
10/17/2023,433,433,433,433
10/18/2023,431,431,431,431
10/19/2023,427,427,427,427
10/20/2023,418,418,418,418
10/23/2023,417,417,417,417
10/24/2023,419,419,419,419
10/25/2023,417,417,417,417
10/27/2023,410,410,410,410
10/30/2023,409,409,409,409
10/31/2023,413,413,413,413
11/01/2023,418,418,418,418
11/02/2023,420,424,420,424
11/03/2023,430,430,425,426
11/06/2023,425,425,425,425
11/07/2023,429,429,429,429
11/09/2023,429,429,428,428
11/10/2023,427,429,427,429
11/13/2023,432,432,432,432
11/14/2023,435,435,435,435
11/15/2023,435,435,435,435
11/16/2023,433,433,433,433
11/17/2023,433,433,433,433
11/20/2023,434,434,434,434
11/21/2023,434,434,434,434
11/22/2023,435,435,435,435
11/23/2023,438,438,438,438
11/24/2023,438,438,436,436
11/27/2023,437,437,436,436
11/28/2023,435,435,435,435
11/29/2023,435,435,435,435
11/30/2023,438,438,437,437
12/01/2023,442,442,442,442
12/04/2023,442,442,441,441
12/05/2023,442,443,441,443
12/06/2023,445,445,444,444
12/07/2023,445,445,445,445
12/08/2023,447,447,447,447
12/11/2023,449,449,449,449
12/12/2023,450,450,450,450
12/13/2023,452,452,452,452
12/14/2023,451,451,451,451
12/15/2023,454,454,454,454
12/18/2023,456,456,456,456
12/19/2023,455,455,455,455
12/20/2023,456,456,456,456
12/21/2023,452,452,452,452
12/22/2023,454,454,454,454
12/27/2023,451,451,451,451
12/28/2023,452,454,452,454
01/02/2024,455,455,454,454
01/03/2024,454,454,453,453
01/04/2024,454,454,452,452
01/05/2024,451,451,451,451
01/08/2024,450,451,450,451
01/09/2024,451,456,451,456
01/10/2024,456,456,456,456
01/11/2024,458,458,455,455
01/12/2024,458,458,458,458
01/15/2024,458,458,458,458
01/16/2024,459,460,459,460
01/17/2024,459,459,459,459
01/18/2024,460,460,460,460
01/19/2024,462,463,462,463
01/22/2024,468,468,468,468
01/25/2024,470,470,470,470
01/30/2024,476,477,476,477
02/07/2024,483,486,483,486
02/08/2024,488,488,486,486
02/09/2024,488,490,488,488
02/12/2024,490,491,490,491
02/13/2024,488,488,487,487
02/14/2024,488,488,488,488
02/21/2024,483,483,483,483
02/22/2024,487,492,487,492
02/23/2024,494,494,494,494
02/28/2024,494,494,492,492
03/06/2024,493,494,493,494
03/07/2024,495,495,495,495
03/08/2024,496,496,495,495
03/11/2024,492,492,492,492
03/12/2024,494,497,493,497
03/13/2024,497,497,497,497
03/15/2024,499,499,494,494
03/20/2024,501,501,501,501
03/21/2024,506,510,506,510
03/22/2024,509,509,509,509
03/28/2024,512,512,512,512
04/02/2024,510,510,508,508
04/03/2024,508,508,508,508
04/04/2024,508,508,508,508
04/05/2024,501,505,501,505
04/08/2024,505,505,505,505
04/09/2024,504,504,504,504
04/10/2024,506,506,506,506
04/11/2024,506,507,506,507
04/15/2024,508,508,508,508
04/16/2024,506,506,501,501
04/17/2024,501,501,501,501
04/18/2024,498,498,498,498
04/19/2024,493,493,493,493
04/22/2024,492,492,492,492
04/24/2024,500,500,498,498
04/25/2024,495,495,492,492
04/26/2024,502,502,502,502
04/30/2024,504,504,500,500
05/02/2024,500,500,496,496
05/07/2024,508,508,508,508
05/08/2024,508,508,508,508
05/10/2024,511,511,511,511
05/13/2024,511,511,509,509
05/15/2024,511,514,511,514
05/17/2024,514,514,513,513
05/20/2024,515,515,515,515
05/21/2024,515,516,515,516
05/22/2024,517,517,517,517
05/23/2024,517,517,517,517
05/24/2024,513,516,513,516
05/28/2024,516,516,516,516
05/29/2024,516,516,514,514
05/30/2024,512,512,511,511
05/31/2024,507,507,505,505
06/03/2024,510,511,510,511
06/04/2024,510,510,510,510
06/05/2024,513,517,513,517
06/06/2024,519,519,519,519
06/07/2024,523,523,523,523
06/10/2024,524,526,524,526
06/11/2024,525,526,525,526
06/13/2024,531,531,531,531
06/14/2024,535,535,535,535
06/17/2024,534,534,534,534
06/18/2024,538,538,538,538
06/19/2024,539,539,539,539
