hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.001,1,50,4,1,0.12282258756091106,0.625768825282579
10,1,0.001,1,50,8,1,0.12234888510073125,0.6008488734577406
10,1,0.001,1,50,16,1,0.1438615882326427,0.45507384695755315
10,1,0.001,1,100,4,1,0.10480723602289387,0.6817622270699297
10,1,0.001,1,100,8,1,0.09924518940609804,0.7200243950883476
10,1,0.001,1,100,16,1,0.11573332664115213,0.6175539767912861
10,1,0.001,1,150,4,1,0.122794008457273,0.599682900240694
10,1,0.001,1,150,8,1,0.09605843944314027,0.7460104745382861
10,1,0.001,1,150,16,1,0.1155207900826657,0.6910185816732373
10,1,0.001,5,50,4,1,0.15353076261018384,0.32752807424199537
10,1,0.001,5,50,8,1,0.15570197571469133,0.3171745126181451
10,1,0.001,5,50,16,1,0.16619400063678244,0.17937428136410427
10,1,0.001,5,100,4,1,0.1419359832073079,0.38441188131319337
10,1,0.001,5,100,8,1,0.12729513552626495,0.5047559636621853
10,1,0.001,5,100,16,1,0.1260329542758458,0.5262688613865996
10,1,0.001,5,150,4,1,0.11520367641939958,0.5648816965821177
10,1,0.001,5,150,8,1,0.11827875335915601,0.5410566016337559
10,1,0.001,5,150,16,1,0.1309256976594596,0.4727533538202082
10,1,0.001,10,50,4,1,0.12729553812453434,0.4905955806204165
10,1,0.001,10,50,8,1,0.15134759771076042,0.30614396562419655
10,1,0.001,10,50,16,1,0.18502105157365722,-0.04293824525480017
10,1,0.001,10,100,4,1,0.1423560777312366,0.35693762533686113
10,1,0.001,10,100,8,1,0.13022459191395533,0.4901800088498882
10,1,0.001,10,100,16,1,0.12689101420132698,0.5208555807213313
10,1,0.001,10,150,4,1,0.15549701741711158,0.2510220379819146
10,1,0.001,10,150,8,1,0.15278752357118572,0.3034676281761659
10,1,0.001,10,150,16,1,0.11459322552959023,0.5829445391046665
10,1,0.01,1,50,4,1,0.2698481233434072,-1.0953743116955126
10,1,0.01,1,50,8,1,0.2494162616489835,-0.7436894419420796
10,1,0.01,1,50,16,1,0.1695355163698906,0.09007147111802849
10,1,0.01,1,100,4,1,0.2908452900842341,-1.2574076257831188
10,1,0.01,1,100,8,1,0.2566712936679777,-0.8846182110081895
10,1,0.01,1,100,16,1,0.23308541910508654,-0.5902487966128711
10,1,0.01,1,150,4,1,0.2931886925915544,-1.3812411708210863
10,1,0.01,1,150,8,1,0.27356164704138675,-1.1670039672295411
10,1,0.01,1,150,16,1,0.22014791560080021,-0.48894429702489695
10,1,0.01,5,50,4,1,0.25413099255148597,-0.9552243677260082
10,1,0.01,5,50,8,1,0.22512280006057878,-0.5690002223297581
10,1,0.01,5,50,16,1,0.2155443620124519,-0.3141424064995746
10,1,0.01,5,100,4,1,0.277536174007842,-1.210528534494867
10,1,0.01,5,100,8,1,0.2639027292373804,-1.0408751376097363
10,1,0.01,5,100,16,1,0.24250835146095107,-0.7487350802083115
10,1,0.01,5,150,4,1,0.28134131212004454,-1.3010731341430941
10,1,0.01,5,150,8,1,0.27626843662069717,-1.2081294070969983
10,1,0.01,5,150,16,1,0.25256196476833065,-0.9073526502928222
10,1,0.01,10,50,4,1,0.289155910151159,-1.2866623632036944
10,1,0.01,10,50,8,1,0.25248906922241243,-0.8329188118995055
10,1,0.01,10,50,16,1,0.24426015698758594,-0.8088296860572577
10,1,0.01,10,100,4,1,0.31266032478663036,-1.6231854718971013
10,1,0.01,10,100,8,1,0.2654815674219581,-1.0836024321418143
10,1,0.01,10,100,16,1,0.21577148719795666,-0.44651246495388164
10,1,0.01,10,150,4,1,0.2799090901317868,-1.2511402551349469
10,1,0.01,10,150,8,1,0.22411885383809974,-0.5855921961822872
10,1,0.01,10,150,16,1,0.24027156542833397,-0.7667258692508552
10,1,0.1,1,50,4,1,0.37737593007966413,-2.7659205284975426
10,1,0.1,1,50,8,1,0.37940510194105165,-2.33587074932891
10,1,0.1,1,50,16,1,0.32506155061166586,-1.7304193268130792
10,1,0.1,1,100,4,1,0.3382806442890739,-1.3121479864350265
10,1,0.1,1,100,8,1,0.23704426004317364,-0.6340730942357169
10,1,0.1,1,100,16,1,0.34102676546881877,-1.9213349805702329
10,1,0.1,1,150,4,1,0.3416222396734698,-0.5932676570169371
10,1,0.1,1,150,8,1,0.3738312745918351,-2.2575666212213634
10,1,0.1,1,150,16,1,0.30406208611251717,-1.5211529530679067
10,1,0.1,5,50,4,1,0.34631530157584756,-2.001113907026016
10,1,0.1,5,50,8,1,0.28787828312135844,-1.1949910813764513
10,1,0.1,5,50,16,1,0.3124033006078982,-1.6376866087400472
10,1,0.1,5,100,4,1,0.44633818401858,-2.8729648211648655
10,1,0.1,5,100,8,1,0.48747792952834834,-3.359266939226699
10,1,0.1,5,100,16,1,0.38516921226593376,-2.3992982818252653
10,1,0.1,5,150,4,1,0.3988888233819269,-1.7831222975087746
10,1,0.1,5,150,8,1,0.4610803645179038,-3.570244706418534
10,1,0.1,5,150,16,1,0.3551429972340597,-1.7049061662469245
10,1,0.1,10,50,4,1,0.577521602481455,-4.71887200013916
10,1,0.1,10,50,8,1,0.3862447968007144,-2.39395216065906
10,1,0.1,10,50,16,1,0.359690338879049,-2.0538638079177027
10,1,0.1,10,100,4,1,0.4827607908880158,-2.742451258603377
10,1,0.1,10,100,8,1,0.38439741432900676,-2.4228040181508925
10,1,0.1,10,100,16,1,0.27671494833804955,-1.2380888255786413
10,1,0.1,10,150,4,1,0.2724802127117583,-0.6567902493854474
10,1,0.1,10,150,8,1,0.2972425712541226,-0.4574395381551699
10,1,0.1,10,150,16,1,0.4670832411968039,-2.6206293329862747
10,2,0.001,1,50,4,1,0.17767643968362756,0.10629268005410353
10,2,0.001,1,50,8,1,0.1427160017769505,0.42066931989234657
10,2,0.001,1,50,16,1,0.13841820036555416,0.4309368127465688
10,2,0.001,1,100,4,1,0.1720876571772106,0.10604816680650031
10,2,0.001,1,100,8,1,0.12292650126011545,0.5409621776376385
10,2,0.001,1,100,16,1,0.15500865430632202,0.30574445979316933
10,2,0.001,1,150,4,1,0.19453354850527005,-0.08287322466495461
10,2,0.001,1,150,8,1,0.14911998941822832,0.3975611054085175
10,2,0.001,1,150,16,1,0.1330486349794014,0.4881188552043191
10,2,0.001,5,50,4,1,0.18969611641213055,-0.08573919890383497
10,2,0.001,5,50,8,1,0.1735268248258265,0.06528739393239125
10,2,0.001,5,50,16,1,0.18307169822188055,0.026231100095831184
10,2,0.001,5,100,4,1,0.2058542976180199,-0.2836416753409843
10,2,0.001,5,100,8,1,0.18613887580685745,-0.0076612622847134215
10,2,0.001,5,100,16,1,0.15905409906492185,0.2645399486481431
10,2,0.001,5,150,4,1,0.22079145743896486,-0.4685968151256257
10,2,0.001,5,150,8,1,0.1735624124742173,0.06376523413646595
10,2,0.001,5,150,16,1,0.15235006971462103,0.26824084651168356
10,2,0.001,10,50,4,1,0.225498546592632,-0.3977711590089539
10,2,0.001,10,50,8,1,0.19702585909441503,-0.15974655448143116
10,2,0.001,10,50,16,1,0.20124757670021673,-0.06299305560020807
10,2,0.001,10,100,4,1,0.2549720443793079,-0.8205442391959783
10,2,0.001,10,100,8,1,0.19335395504804495,-0.07672100393044379
10,2,0.001,10,100,16,1,0.1851146278039931,0.030380281657259478
