hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.001,1,50,4,1,0.10446496613458008,0.6598596228361266
10,1,0.001,1,50,4,2,0.11181512045484919,0.6651854313299181
10,1,0.001,1,50,4,3,0.11558474544586823,0.6601188393743538
10,1,0.001,1,50,8,1,0.10928120129850466,0.6697861279374118
10,1,0.001,1,50,8,2,0.13387344546734167,0.5720121602403312
10,1,0.001,1,50,8,3,0.12091808067425759,0.6579385548074408
10,1,0.001,1,50,16,1,0.1645512346218927,0.31915585876907526
10,1,0.001,1,50,16,2,0.12257192539394625,0.6077448469794233
10,1,0.001,1,50,16,3,0.14971376414430063,0.4145181496853354
10,1,0.001,1,100,4,1,0.09320730872719554,0.7370678196584834
10,1,0.001,1,100,4,2,0.11143317165735772,0.627573054763634
10,1,0.001,1,100,4,3,0.10816228882705173,0.6940413484613248
10,1,0.001,1,100,8,1,0.09744996025869425,0.7453041325123395
10,1,0.001,1,100,8,2,0.1150713672696048,0.627038608884414
10,1,0.001,1,100,8,3,0.11633570831680708,0.6098544685545839
10,1,0.001,1,100,16,1,0.1126561378853718,0.649258440429581
10,1,0.001,1,100,16,2,0.10588676893298711,0.6835446399843323
10,1,0.001,1,100,16,3,0.08834184679689076,0.777856753026705
10,1,0.001,1,150,4,1,0.12463960090431092,0.5980072299199372
10,1,0.001,1,150,4,2,0.12212557899517903,0.557222384024668
10,1,0.001,1,150,4,3,0.12235103685460151,0.5417375297029395
10,1,0.001,1,150,8,1,0.10113071012703195,0.7019327655113774
10,1,0.001,1,150,8,2,0.11233599585177177,0.6275882019771646
10,1,0.001,1,150,8,3,0.09883845371143213,0.7037742995036262
10,1,0.001,1,150,16,1,0.10286054998671502,0.7132084856192156
10,1,0.001,1,150,16,2,0.10228045058936457,0.6944358498480713
10,1,0.001,1,150,16,3,0.09969294143405076,0.7458961981689243
10,1,0.001,5,50,4,1,0.15682493964130834,0.2860496279595799
