hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.001,1,50,4,1,0.1384834386577391,0.5473680137047248
10,1,0.001,1,50,4,2,0.12409350747478283,0.5872602796900546
10,1,0.001,1,50,4,3,0.1106913689069696,0.654564811131263
10,1,0.001,1,50,8,1,0.12283235107308722,0.6257701324583681
10,1,0.001,1,50,8,2,0.11886611580888266,0.6236545548007022
10,1,0.001,1,50,8,3,0.15125961959710446,0.46213918423551814
10,1,0.001,1,50,16,1,0.1279765109732452,0.5732767638762948
10,1,0.001,1,50,16,2,0.153597584341452,0.33782993662641814
10,1,0.001,1,50,16,3,0.14325896691564668,0.4734333982961614
10,1,0.001,1,100,4,1,0.1208166614635176,0.5844635077918041
10,1,0.001,1,100,4,2,0.10962679362502004,0.6814738124156972
10,1,0.001,1,100,4,3,0.09523976005652648,0.7168849563513637
10,1,0.001,1,100,8,1,0.10786941683152383,0.6778904278848223
10,1,0.001,1,100,8,2,0.10180510642445012,0.7062022181353761
10,1,0.001,1,100,8,3,0.09693842109641003,0.7202147425547815
10,1,0.001,1,100,16,1,0.1234969910390491,0.6249800749676713
10,1,0.001,1,100,16,2,0.08897164806332868,0.7629294112946232
10,1,0.001,1,100,16,3,0.11949096289057815,0.5878338907087424
10,1,0.001,1,150,4,1,0.13276023271522644,0.5215513632598662
10,1,0.001,1,150,4,2,0.1126654052455391,0.6329859416337948
10,1,0.001,1,150,4,3,0.1378744219323347,0.3861218448546275
10,1,0.001,1,150,8,1,0.1228740843275539,0.5273977340700235
10,1,0.001,1,150,8,2,0.102749021013807,0.732382584354953
10,1,0.001,1,150,8,3,0.10089863008321438,0.7255173340934138
10,1,0.001,1,150,16,1,0.11556364460028701,0.6392508474855569
10,1,0.001,1,150,16,2,0.08355767561226199,0.7923101412662943
10,1,0.001,1,150,16,3,0.09513458243743601,0.7388243752391777
10,1,0.001,5,50,4,1,0.13855893195246038,0.4605793686751827
10,1,0.001,5,50,4,2,0.10071432820296902,0.6715226166164776
10,1,0.001,5,50,4,3,0.13516895466080114,0.40923252810900845
10,1,0.001,5,50,8,1,0.14707591085112184,0.34274998247817956
10,1,0.001,5,50,8,2,0.1228130694019881,0.5116629129018377
10,1,0.001,5,50,8,3,0.1402837692960025,0.37910015208833625
10,1,0.001,5,50,16,1,0.12259487088031785,0.5771450180945863
10,1,0.001,5,50,16,2,0.13861481558880623,0.46676613451757554
10,1,0.001,5,50,16,3,0.19020814132711594,-0.09684211146688115
10,1,0.001,5,100,4,1,0.14388122840082634,0.3548276399060851
10,1,0.001,5,100,4,2,0.15474858807570202,0.2776836106868219
10,1,0.001,5,100,4,3,0.12962585409873878,0.4763623385020994
10,1,0.001,5,100,8,1,0.14202463361831133,0.36773715439737864
10,1,0.001,5,100,8,2,0.12477409736697542,0.5427252598210524
10,1,0.001,5,100,8,3,0.12634442368923934,0.49828382856379816
10,1,0.001,5,100,16,1,0.1332610752910858,0.46791048119151146
10,1,0.001,5,100,16,2,0.12327003895079355,0.5478352024990503
10,1,0.001,5,100,16,3,0.1372694323013733,0.42716037919272176
10,1,0.001,5,150,4,1,0.1455705130202023,0.3083363136736397
10,1,0.001,5,150,4,2,0.12349478923687,0.5234673664313758
10,1,0.001,5,150,4,3,0.18062245642694563,0.02561644188898804
10,1,0.001,5,150,8,1,0.126146794113104,0.4980799538474686
10,1,0.001,5,150,8,2,0.13797175273669818,0.4193446954687786
10,1,0.001,5,150,8,3,0.12375207888065293,0.5286354654386046
10,1,0.001,5,150,16,1,0.14369384906079063,0.3905883570309788
10,1,0.001,5,150,16,2,0.13967475105740698,0.3836954965213084
10,1,0.001,5,150,16,3,0.10742141297558092,0.6458369073357513
10,1,0.001,10,50,4,1,0.13413282662622153,0.4604575596416236
10,1,0.001,10,50,4,2,0.15297716920801535,0.27073949617265936
10,1,0.001,10,50,4,3,0.14915217694439584,0.29392346826647564
10,1,0.001,10,50,8,1,0.13755210580193417,0.43298711786436783
10,1,0.001,10,50,8,2,0.14049243373744347,0.46051669880764523
10,1,0.001,10,50,8,3,0.16273021040965474,0.2021820537418474
10,1,0.001,10,50,16,1,0.14906455212314768,0.34962644421630495
10,1,0.001,10,50,16,2,0.1547286582872975,0.3017403319228601
10,1,0.001,10,50,16,3,0.16199893903289211,0.2441733470516344
10,1,0.001,10,100,4,1,0.15804685382949618,0.20787176570734822
10,1,0.001,10,100,4,2,0.15759002797033808,0.2038327303197408
10,1,0.001,10,100,4,3,0.14555146386369128,0.33416459125226383
10,1,0.001,10,100,8,1,0.11350802732903494,0.6071559063943919
10,1,0.001,10,100,8,2,0.13654525555133604,0.41707589161603065
10,1,0.001,10,100,8,3,0.11902902440718892,0.5308357010907789
10,1,0.001,10,100,16,1,0.12926687483942048,0.4990495313761709
10,1,0.001,10,100,16,2,0.1484085272219521,0.3586801234793183
10,1,0.001,10,100,16,3,0.13109792935212525,0.4793728954840135
10,1,0.001,10,150,4,1,0.16350264028766284,0.15089455837941157
10,1,0.001,10,150,4,2,0.14972332202523042,0.26904769488320646
10,1,0.001,10,150,4,3,0.156692663524456,0.2071595922820787
10,1,0.001,10,150,8,1,0.14976209993671166,0.29286089803209536
10,1,0.001,10,150,8,2,0.1700428455518721,0.12165964266800633
10,1,0.001,10,150,8,3,0.14879706764760856,0.3093772047028346
10,1,0.001,10,150,16,1,0.13705062130869086,0.3950155709388059
10,1,0.001,10,150,16,2,0.12336048137452246,0.5622956895471173
10,1,0.001,10,150,16,3,0.1454597597266795,0.3276262708664104
10,1,0.01,1,50,4,1,0.27946223267441184,-1.1462215025024687
10,1,0.01,1,50,4,2,0.2818606427799615,-1.2471208838251586
10,1,0.01,1,50,4,3,0.26756012285686254,-1.0285044349040775
10,1,0.01,1,50,8,1,0.23923727692832603,-0.7020862420311853
10,1,0.01,1,50,8,2,0.2606944663254782,-0.9312524730811782
10,1,0.01,1,50,8,3,0.24210561340809889,-0.6937718336949938
10,1,0.01,1,50,16,1,0.2171139878067853,-0.25833877961676754
10,1,0.01,1,50,16,2,0.19210004168338068,-0.12491876523773615
10,1,0.01,1,50,16,3,0.18749625487323987,0.0010616636762472709
10,1,0.01,1,100,4,1,0.2719845735602139,-1.1526799658401177
10,1,0.01,1,100,4,2,0.28561945181484244,-1.29166512661496
10,1,0.01,1,100,4,3,0.27013572839996297,-1.133469505273598
10,1,0.01,1,100,8,1,0.26103483837989944,-0.9772574153632212
10,1,0.01,1,100,8,2,0.2636497186652908,-1.0026872476228097
10,1,0.01,1,100,8,3,0.25749056159001193,-0.9771714532174058
10,1,0.01,1,100,16,1,0.21711708396002738,-0.4708768284791025
10,1,0.01,1,100,16,2,0.21119118730452197,-0.30807755158726113
10,1,0.01,1,100,16,3,0.21590584178374783,-0.4237183413379766
10,1,0.01,1,150,4,1,0.2812159301133165,-1.2644956807845995
10,1,0.01,1,150,4,2,0.31505573682983173,-1.558273697437356
10,1,0.01,1,150,4,3,0.32658815308974143,-1.7481978441529713
10,1,0.01,1,150,8,1,0.260116005486194,-0.9890890377444503
10,1,0.01,1,150,8,2,0.27251874911752866,-1.1295647524229984
10,1,0.01,1,150,8,3,0.2615280786353129,-0.9574653287871191
10,1,0.01,1,150,16,1,0.24485545076738466,-0.7748916624427942
10,1,0.01,1,150,16,2,0.25832261338861917,-0.8337727323079722
10,1,0.01,1,150,16,3,0.22817692433749798,-0.5962250447574282
10,1,0.01,5,50,4,1,0.24816031424198748,-0.8815028809431835
10,1,0.01,5,50,4,2,0.26863934209427703,-1.121618535606825
10,1,0.01,5,50,4,3,0.2651789189540725,-1.0829158424131644
10,1,0.01,5,50,8,1,0.2595967421951567,-1.0169937499436523
