hidden_dim,num_layers,learning_rate,timesteps,epochs,batch_size,iteration,MAPE,R²
10,1,0.001,1,50,4,1,0.1358312110583713,0.4374631706934753
10,1,0.001,1,50,4,2,0.19027281224864626,-0.027131746236463306
10,1,0.001,1,50,4,3,0.1846117103256376,0.048352745577845635
10,1,0.001,1,50,8,1,0.2074536357659334,-0.19807503126314696
10,1,0.001,1,50,8,2,0.1785762287259343,0.18182248711147875
10,1,0.001,1,50,8,3,0.17763885840001126,0.15474385991439854
10,1,0.001,1,50,16,1,0.19398221260463533,-0.03273368338084315
10,1,0.001,1,50,16,2,0.16751797052298947,0.24456036784305357
10,1,0.001,1,50,16,3,0.2144131564880532,-0.30269819418855604
10,1,0.001,1,100,4,1,0.1514413351631795,0.34427575976263003
10,1,0.001,1,100,4,2,0.17310228463610916,0.2257402006012238
10,1,0.001,1,100,4,3,0.1857630332857562,-0.025384729723398003
10,1,0.001,1,100,8,1,0.1557726397935774,0.2901614713730588
10,1,0.001,1,100,8,2,0.14867919897604007,0.34012588220838624
10,1,0.001,1,100,8,3,0.1559309635378661,0.34040570955719274
10,1,0.001,1,100,16,1,0.18835523641441435,-0.01601290520511478
10,1,0.001,1,100,16,2,0.1596157862295364,0.2723848966949127
10,1,0.001,1,100,16,3,0.16973307289444783,0.15013699453519702
10,1,0.001,1,150,4,1,0.16421895520945592,0.24503568192716063
10,1,0.001,1,150,4,2,0.172545110927002,0.16549456821119912
10,1,0.001,1,150,4,3,0.15780000964256072,0.33557298477767983
10,1,0.001,1,150,8,1,0.1674884936930815,0.23547200426233972
10,1,0.001,1,150,8,2,0.14569044722046326,0.36489995797582264
10,1,0.001,1,150,8,3,0.16356937410887892,0.1712475920673061
10,1,0.001,1,150,16,1,0.17770540028773965,0.12515657092986232
10,1,0.001,1,150,16,2,0.14489335780991364,0.40337403674430805
10,1,0.001,1,150,16,3,0.16430537675306073,0.21334166425370493
10,1,0.001,5,50,4,1,0.12842101934435074,0.4757358465962752
10,1,0.001,5,50,4,2,0.16897400781621066,0.2321566000052827
10,1,0.001,5,50,4,3,0.1577514221815294,0.24769537180090473
10,1,0.001,5,50,8,1,0.1586626810878257,0.21278801622216847
10,1,0.001,5,50,8,2,0.15485247935937557,0.28786299971512386
10,1,0.001,5,50,8,3,0.1447888080370163,0.4008153327972104
10,1,0.001,5,50,16,1,0.15640490386981146,0.23293856710856498
10,1,0.001,5,50,16,2,0.17115763282234175,0.15634944217375268
10,1,0.001,5,50,16,3,0.15955203889462827,0.19820033129878845
10,1,0.001,5,100,4,1,0.13228132506375548,0.48189297196336056
10,1,0.001,5,100,4,2,0.1209509248029875,0.568277573781271
10,1,0.001,5,100,4,3,0.17902437063855614,0.06581519529576652
10,1,0.001,5,100,8,1,0.17517961259478243,0.023940280131031555
10,1,0.001,5,100,8,2,0.12397081702567012,0.5231729202006602
10,1,0.001,5,100,8,3,0.1406112821090809,0.4254602978611165
10,1,0.001,5,100,16,1,0.183119889744874,0.009230762817263649
10,1,0.001,5,100,16,2,0.1760607930888094,0.09881075158167474
10,1,0.001,5,100,16,3,0.15536016639437777,0.25888041927497574
10,1,0.001,5,150,4,1,0.15759235898989352,0.3624630140802564
