hidden_layer_sizes,activation,solver,learning_rate,iteration,MAPE,R²
"(10,)",relu,adam,constant,1,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,constant,2,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,constant,3,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,invscaling,1,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,invscaling,2,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,invscaling,3,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,adaptive,1,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,adaptive,2,0.2363968775061785,-0.380818266293538
"(10,)",relu,adam,adaptive,3,0.2363968775061785,-0.380818266293538
"(10,)",relu,sgd,constant,1,0.3098387614737823,-1.2461697211591827
"(10,)",relu,sgd,constant,2,0.3098387614737823,-1.2461697211591827
"(10,)",relu,sgd,constant,3,0.3098387614737823,-1.2461697211591827
"(10,)",relu,sgd,invscaling,1,0.7713265224251564,-9.49600662364572
"(10,)",relu,sgd,invscaling,2,0.7713265224251564,-9.49600662364572
"(10,)",relu,sgd,invscaling,3,0.7713265224251564,-9.49600662364572
"(10,)",relu,sgd,adaptive,1,0.3090324149685541,-1.2347503444192514
"(10,)",relu,sgd,adaptive,2,0.3090324149685541,-1.2347503444192514
"(10,)",relu,sgd,adaptive,3,0.3090324149685541,-1.2347503444192514
"(10,)",relu,lbfgs,constant,1,0.1213834327619631,0.4452387990583926
"(10,)",relu,lbfgs,constant,2,0.1213834327619631,0.4452387990583926
"(10,)",relu,lbfgs,constant,3,0.1213834327619631,0.4452387990583926
"(10,)",relu,lbfgs,invscaling,1,0.1213834327619631,0.4452387990583926
"(10,)",relu,lbfgs,invscaling,2,0.1213834327619631,0.4452387990583926
"(10,)",relu,lbfgs,invscaling,3,0.1213834327619631,0.4452387990583926
